"","nbr.val","nbr.null","nbr.na","min","max","range","sum","median","mean","SE.mean","CI.mean.0.95","var","std.dev","coef.var"
"E_s11_to_1",1070,0,0,36.6617,59.49423,22.83253,51663.81483,48.48273,48.2839390934579,0.105251485380662,0.206522949667793,11.8533264370743,3.44286602078476,0.071304580475938
"SISBEN1PC",1070,0,0,0.015217670476435,0.378439948970293,0.363222278493858,142.618919263792,0.127898713577649,0.133288709592329,0.00142886910419245,0.00280370638969833,0.00218458360109985,0.0467395293204783,0.350663829392856
"MurderRate",1070,288,0,0,281.37310073157,281.37310073157,25451.3118810547,15.5271572761359,23.7862727860325,0.927779295867985,1.82047518028252,921.028631370185,30.3484535251829,1.2758810007007
"ProxyGDP",1070,0,0,0.4274357421875,7.7412656379698,7.3138298957823,1464.76191325749,1.20382949868514,1.36893636753036,0.0212780025899299,0.0417513904152334,0.484446131812257,0.696021646080247,0.508439736564168
"Poverty",1070,0,0,13.9992936946192,163.547129218771,149.547835524152,95885.8255636421,90.6414603971315,89.612921087516,0.666824542106253,1.30843351852554,475.780817852078,21.8124005522565,0.243406869093738
"GC_indrura",1070,0,0,0.0009238,0.9828824,0.9819586,590.4075627,0.5871606,0.551782768878505,0.00738176848067006,0.0144843998626629,0.058304841315369,0.241463954484658,0.437606913632755
"Vulnerabil",1070,1,0,0,10,10,4928.87432459895,4.4534066437118,4.60642460242892,0.0589733022337076,0.115716564805776,3.72129990269259,1.92906710684014,0.418777527764801
"Threat",1070,0,0,0.08007934541556,10,9.91992065458444,3625.55661574489,2.83934556687619,3.38837066892046,0.0703589440781263,0.138057307352697,5.29690768261413,2.30150118023305,0.679235362690208
"Lack_Respo",1070,1,0,0,9.31266824882616,9.31266824882616,6560.47646835107,6.9238185074504,6.13128641901969,0.068865739810144,0.135127363430624,5.07446442797034,2.25265719273269,0.367403679877813
"TransEducP",1070,0,0,11129.0225011843,827067.431388958,815938.408887774,63915502.2336567,38960.2372544618,59734.1142370624,2573.88311854048,5050.43640779612,7088615509.46118,84193.91610717,1.4094779370635
"TransAlimE",1070,0,0,499.140728505913,24090.0909360776,23590.9502075717,6076531.8928731,4984.43486993302,5679.00176904028,95.820244974464,188.017105492106,9824225.70125393,3134.36208840873,0.551921308687745
"HS_Cober_7",1070,72,0,0,100,100,42509.96,34.46,39.7289345794393,0.862454052071969,1.69229492717039,795.894881370833,28.2116089823114,0.710102329220568
"HS_Cober_1",1070,12,0,0,100,100,61629.13,57.175,57.5973177570093,0.888976819514545,1.74433751968852,845.59937062859,29.0791913682033,0.504870582530981
"G_IGA_tota",1070,0,0,29.9096952162577,90.9520280496725,61.0423328334149,69073.7743236797,65.8867264724381,64.554929274467,0.288548343533992,0.566185406437451,89.0883568151453,9.43866287220522,0.146211342468908
"GC_discapi",1070,32,0,0,376.1182,376.1182,84503.935151,66.69366,78.9756403280374,1.71501520040951,3.36517814102744,3147.16653727016,56.099612630304,0.710340712620824
