"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",45.6446501365281,0.95927841999677,47.5822755782224,7.98719872700667e-265
"2","Vulnerabil",-0.647370698580257,0.0808189751194926,-8.01013249206768,3.01369066110599e-15
"3","GC_discapi",0.000275694111666087,0.00149417109831211,0.184513080180393,0.853646427633467
"4","Lack_Respo",-0.0535980790193068,0.0717293730803079,-0.747226369304784,0.455093430958624
"5","Threat",0.120666936345569,0.0572387725837117,2.10813284245558,0.0352548556999673
"6","SISBEN1PC",-17.7279987730038,3.87054302971657,-4.58023554754332,5.19808553380945e-06
"7","Poverty",0.0419682991981493,0.00755858545150391,5.55240123531301,3.56466462564476e-08
"8","MurderRate",-0.0115569574614447,0.00280772364508154,-4.11613068889087,4.15338439004809e-05
"9","HS_Cober_7",0.00576377646544869,0.0038701939099305,1.48927330247186,0.136714281004805
"10","HS_Cober_1",-0.00586373266454178,0.00340875400450612,-1.72019824745064,0.0856896614891757
"11","TransEducP",5.27309834788795e-07,1.09094502867567e-06,0.483351425533248,0.628946526955234
"12","GC_indrura",1.36655783970149,0.486929686641331,2.80647879394564,0.00510079433667206
"13","ProxyGDP",0.32290854147232,0.129280492437525,2.49773601093271,0.0126503202421753
"14","G_IGA_tota",0.0690829187730873,0.00917830643844009,7.52676098106268,1.11255435255299e-13
"15","TransAlimE",-0.000208170547032727,4.51298337327033e-05,-4.61270361122283,4.46203777717468e-06
